type;name;role;age;season;nation;from;to;market_value;value
"Cessione";"Filippo Perucchini";"Portiere";"26";18/19";"Italia";"Bologna FC 1909";"Ascoli";"400 mila ";"400 mila  ?"
"Cessione";"Giordano Trovade";"Centrale";"20";18/19";"Italia";"Bologna FC 1909";"Ravenna";"75 mila ";"75 mila  Prestito"
"Cessione";"Luca Rizzo";"Centrale";"26";18/19";"Italia";"Bologna FC 1909";"Foggia";"2,00 mln ";"2,00 mln  Prestito"
"Cessione";"Lorenzo Crisetig";"Mediano";"25";18/19";"Italia";"Bologna FC 1909";"Frosinone";"1,70 mln ";"1,70 mln  Prestito"
"Cessione";"Bálint Vécsei";"Trequartista";"24";18/19";"Ungheria";"Bologna FC 1909";"FC Lugano";"200 mila ";"200 mila  ?"
"Cessione";"Felipe Avenatti";"Punta centrale";"25";18/19";"Uruguay";"Bologna FC 1909";"Luqueño";"1,20 mln ";"1,20 mln  Fine prestito 30/giu/2018"
"Cessione";"Simone Romagnoli";"Difensore centrale";"28";18/19";"Italia";"Bologna FC 1909";"Empoli";"1,50 mln ";"1,50 mln  Fine prestito 30/giu/2018"
"Cessione";"Cheick Keita";"Terzino sinistro";"22";18/19";"Mali";"Bologna FC 1909";"Birmingham";"1,00 mln ";"1,00 mln  Fine prestito 30/giu/2018"
"Acquisto";"Leonardo Pavoletti";"Punta centrale";"29";18/19";"Italia";"Cagliari Calcio";"Napoli";"9,00 mln ";"9,00 mln  10,00 mln "
"Acquisto";"Lucas Castro";"Centrale";"29";18/19";"Argentina";"Cagliari Calcio";"Chievo";"7,00 mln ";"7,00 mln  6,50 mln "
"Acquisto";"Filip Bradaric";"Mediano";"27";18/19";"Croazia";"Cagliari Calcio";"HNK Rijeka";"3,50 mln ";"3,50 mln  5,00 mln "
"Acquisto";"Ragnar Klavan";"Difensore centrale";"32";18/19";"Estonia";"Cagliari Calcio";"FC Liverpool";"3,50 mln ";"3,50 mln  1,30 mln "
"Acquisto";"Alberto Cerri";"Punta centrale";"22";18/19";"Italia";"Cagliari Calcio";"Juventus";"7,50 mln ";"7,50 mln  Spesa prestito: 1,00 mln "
"Acquisto";"Darijo Srna";"Terzino destro";"36";18/19";"Croazia";"Cagliari Calcio";"Shakhtar D.";"1,00 mln ";"1,00 mln  gratuito"
"Acquisto";"Simone Aresti";"Portiere";"32";18/19";"Italia";"Cagliari Calcio";"Olbia";"225 mila ";"225 mila  ?"
"Acquisto";"Filip Bradaric";"Mediano";"26";18/19";"Croazia";"Cagliari Calcio";"HNK Rijeka";"3,50 mln ";"3,50 mln  Prestito"
"Acquisto";"Jherson Vergara";"Difensore centrale";"24";18/19";"Colombia";"Cagliari Calcio";"Milan";"400 mila ";"400 mila  ?"
"Acquisto";"Alessio Murgia";"Centrale";"21";18/19";"Italia";"Cagliari Calcio";"Olbia";"150 mila ";"150 mila  Fine prestito 30/giu/2018"
"Acquisto";"Nicola Manca";"Terzino sinistro";"20";18/19";"Italia";"Cagliari Calcio";"Olbia";"50 mila ";"50 mila  Fine prestito 30/giu/2018"
"Acquisto";"Nicholas Pennington";"Trequartista";"19";18/19";"Italia";"Cagliari Calcio";"Olbia";"175 mila ";"175 mila  Fine prestito 30/giu/2018"
"Acquisto";"Illia Briukhov";"Difensore centrale";"19";18/19";"Ucraina";"Cagliari Calcio";"Potenza";"25 mila ";"25 mila  Fine prestito 30/giu/2018"
"Acquisto";"Federico Serra";"Ala sinistra";"20";18/19";"Italia";"Cagliari Calcio";"Racing Fondi";"75 mila ";"75 mila  Fine prestito 30/giu/2018"
"Acquisto";"Marco Capuano";"Difensore centrale";"26";18/19";"Italia";"Cagliari Calcio";"Crotone";"1,00 mln ";"1,00 mln  Fine prestito 30/giu/2018"
"Acquisto";"Gabriel Montaperto";"Portiere";"20";18/19";"Italia";"Cagliari Calcio";"Racing Fondi";"50 mila ";"50 mila  Fine prestito 30/giu/2018"
"Acquisto";"Santiago Colombatto";"Mediano";"21";18/19";"Argentina";"Cagliari Calcio";"Perugia";"1,30 mln ";"1,30 mln  Fine prestito 30/giu/2018"
"Acquisto";"Federico Melchiorri";"Punta centrale";"31";18/19";"Italia";"Cagliari Calcio";"Carpi";"1,20 mln ";"1,20 mln  Fine prestito 30/giu/2018"
"Acquisto";"Luka Krajnc";"Difensore centrale";"23";18/19";"Slovenia";"Cagliari Calcio";"Frosinone";"1,50 mln ";"1,50 mln  Fine prestito 30/giu/2018"
"Acquisto";"Marko Pajac";"Terzino sinistro";"25";18/19";"Croazia";"Cagliari Calcio";"Perugia";"600 mila ";"600 mila  Fine prestito 30/giu/2018"
"Acquisto";"Bartosz Salamon";"Difensore centrale";"27";18/19";"Polonia";"Cagliari Calcio";"SPAL";"1,40 mln ";"1,40 mln  Fine prestito 30/giu/2018"
"Cessione";"Bartosz Salamon";"Difensore centrale";"27";18/19";"Polonia";"Cagliari Calcio";"SPAL";"1,40 mln ";"1,40 mln  2,00 mln "
"Cessione";"Luka Krajnc";"Difensore centrale";"23";18/19";"Slovenia";"Cagliari Calcio";"Frosinone";"1,50 mln ";"1,50 mln  1,00 mln "
"Cessione";"Federico Melchiorri";"Punta centrale";"31";18/19";"Italia";"Cagliari Calcio";"Perugia";"1,20 mln ";"1,20 mln  800 mila "
"Cessione";"Marco Capuano";"Difensore centrale";"26";18/19";"Italia";"Cagliari Calcio";"Frosinone";"1,00 mln ";"1,00 mln  500 mila "
"Cessione";"Gabriel Montaperto";"Portiere";"20";18/19";"Italia";"Cagliari Calcio";"Fanfulla";"50 mila ";"50 mila  gratuito"
"Cessione";"Nicola Manca";"Terzino sinistro";"20";18/19";"Italia";"Cagliari Calcio";"Castiadas";"50 mila ";"50 mila  gratuito"
"Cessione";"Illia Briukhov";"Difensore centrale";"19";18/19";"Ucraina";"Cagliari Calcio";"Torres";"25 mila ";"25 mila  gratuito"
"Cessione";"Federico Serra";"Ala sinistra";"20";18/19";"Italia";"Cagliari Calcio";"Sandonà";"75 mila ";"75 mila  gratuito"
"Cessione";"Kwang-Song Han";"Punta centrale";"19";18/19";"Corea del Nord";"Cagliari Calcio";"Perugia";"5,00 mln ";"5,00 mln  Prestito"
"Cessione";"Damir Ceter";"Punta centrale";"20";18/19";"Colombia";"Cagliari Calcio";"Olbia";"1,00 mln ";"1,00 mln  Prestito"
"Cessione";"Nicholas Pennington";"Trequartista";"19";18/19";"Italia";"Cagliari Calcio";"Olbia";"175 mila ";"175 mila  ?"
"Cessione";"Santiago Colombatto";"Mediano";"21";18/19";"Argentina";"Cagliari Calcio";"Verona";"1,30 mln ";"1,30 mln  Prestito"
"Cessione";"Senna Miangue";"Terzino sinistro";"21";18/19";"Belgio";"Cagliari Calcio";"Standard Liegi";"1,50 mln ";"1,50 mln  Prestito"
"Cessione";"Alessandro Deiola";"Centrale";"23";18/19";"Italia";"Cagliari Calcio";"Parma";"1,30 mln ";"1,30 mln  Prestito"
"Cessione";"Niccolò Giannetti";"Punta centrale";"27";18/19";"Italia";"Cagliari Calcio";"Livorno";"1,00 mln ";"1,00 mln  Prestito"
"Cessione";"Fabrizio Caligara";"Centrale";"18";18/19";"Italia";"Cagliari Calcio";"Olbia";"1,00 mln ";"1,00 mln  Prestito"
"Cessione";"Jherson Vergara";"Difensore centrale";"24";18/19";"Colombia";"Cagliari Calcio";"Olbia";"400 mila ";"400 mila  Prestito"
"Cessione";"Luca Crosta";"Portiere";"20";18/19";"Italia";"Cagliari Calcio";"Olbia";"200 mila ";"200 mila  Prestito"
"Cessione";"Alessio Murgia";"Centrale";"21";18/19";"Italia";"Cagliari Calcio";"-";"150 mila ";"150 mila  -"
"Cessione";"Andrea Cossu";"Trequartista";"38";18/19";"Italia";"Cagliari Calcio";"-";"100 mila ";"100 mila  -"
"Cessione";"Filip Bradaric";"Mediano";"27";18/19";"Croazia";"Cagliari Calcio";"HNK Rijeka";"3,50 mln ";"3,50 mln  Fine prestito 18/gen/2019"
